AD	AD100	Canillo	Canillo	02					42.5833	1.6667	6
AD	AD200	Encamp	Encamp	03					42.5333	1.6333	6
AD	AD400	La Massana	La Massana	04					42.5667	1.4833	6
AD	AD300	Ordino	Ordino	05					42.6	1.55	6
AD	AD600	Sant Julià de Lòria	Sant Julià de Lòria	06					42.4667	1.5	6
AD	AD500	Andorra la Vella	Andorra la Vella	07					42.5	1.5	6
AD	AD700	Escaldes-Engordany	Escaldes-Engordany	08					42.5	1.5667	6
AR	3636	POZO CERCADO (EL CHORRO (F), DPTO. RIVADAVIA (S))	Salta	A					-23.4933	-61.9267	3
AR	4123	LAS SALADAS	Salta	A					-25.7833	-64.5	4
AR	4126	CANDELARIA	Salta	A					-26.1	-65.1	4
AR	4126	RUIZ DE LOS LLANOS	Salta	A					-26.1167	-65.2833	4
AR	4126	LOS MOGOTES	Salta	A					-26.0333	-65.2	4
AR	4126	EL JARDIN	Salta	A					-26.0833	-65.3833	4
AR	4126	CEIBAL	Salta	A					-26.1	-65.0167	4
AR	4126	EL BRETE	Salta	A					-26.0667	-65.3667	4
AR	4126	BRETE	Salta	A					-26.0667	-65.3667	4
AR	4126	TALA	Salta	A					-26.1167	-65.2833	4
AR	4126	BARADERO	Salta	A					-26.0833	-65.263	3
AR	4126	ALEM	Salta	A					-26.0833	-65.263	3
AR	4126	EL CUIBAL	Salta	A					-26.0833	-65.263	3
AR	4126	LA MARAVILLA	Salta	A					-26.0833	-65.263	3
AR	4126	OVEJERO	Salta	A					-26.0833	-65.263	3
AR	4126	LA ASUNCION	Salta	A					-26.0833	-65.263	3
AR	4126	SALAZAR	Salta	A					-26.0833	-65.263	3
AR	4126	SAN PEDRO DE ARANDA	Salta	A					-26.0833	-65.263	3
AR	4126	EL SUNCHAL	Salta	A					-26.0833	-65.263	3
AR	4126	MIRAFLORES (TALA, DPTO. CANDELARIA)	Salta	A					-26.0833	-65.263	3
AR	4141	QUISCA GRANDE	Salta	A					-26.4367	-65.97	3
AR	4141	LA CIENEGUITA	Salta	A					-26.4367	-65.97	3
AR	4141	TOLOMBON	Salta	A					-26.2	-65.9167	4
AR	4141	MACHO RASTROJO	Salta	A					-26.4367	-65.97	3
AR	4190	ROSARIO DE LA FRONTERA	Salta	A					-25.8	-64.9667	4
AR	4190	OVANDO	Salta	A					-25.8	-65.1	4
AR	4190	VILLA AURELIA	Salta	A					-25.8	-65.0333	3
AR	4190	COSME	Salta	A					-25.8	-65.0333	3
AR	4190	CONDOR (R. DE LA FRONTERA, DPTO. ROSARIO DE LA FRONTERA)	Salta	A					-25.8	-65.0333	3
AR	4190	LOS POCITOS	Salta	A					-25.8	-65.0333	3
AR	4190	LAS PIEDRITAS	Salta	A					-25.8	-65.0333	3
AR	4190	LA MATILDE	Salta	A					-25.8	-65.0333	3
AR	4190	LA BANDA (R. DE LA FRONTERA, DPTO. ROSARIO DE LA FRONTERA)	Salta	A					-25.8	-65.0333	3
AR	4190	PALOMAR	Salta	A					-25.8	-65.0333	3
AR	4190	BAÑOS TERMALES ROSARIO DE LA FRONTERA	Salta	A					-25.8	-65.0333	3
AR	4190	BARBAYASCO	Salta	A					-25.8	-65.0333	3
AR	4190	CERRO NEGRO (R. DE LA FRONTERA, DPTO ROSARIO DE LA FRONTERA)	Salta	A					-25.8	-65.0333	3
AR	4190	EL PORTEZUELO	Salta	A					-25.8	-65.0333	3
AR	4190	SAN ESTEBAN	Salta	A					-25.8	-65.0333	3
AR	4190	SANTA TERESA	Salta	A					-25.8	-65.0333	3
AR	4190	ROSARIO (FINCA)	Salta	A					-25.8	-65.0333	3
AR	4190	POTRERILLO (R. DE LA FRONTERA, DPTO. ROSARIO DE LA FRONTERA)	Salta	A					-25.8	-65.0333	3
AR	4190	AGUAS CALIENTES	Salta	A					-25.8	-65.0333	3
AR	4190	DURAZNITO	Salta	A					-25.8	-65.0333	3
AR	4190	VIADUCTO EL MUÑAL	Salta	A					-25.8	-65.0333	3
AR	4190	OJO DE AGUA (ROSARIO DE LA FRONTERA, DPTO. R.DE LA FRONTERA)	Salta	A					-25.8	-65.0333	3
AR	4190	BAJADA	Salta	A					-25.8	-65.0333	3
AR	4191	SAN PEDRO DE LOS CORRALES	Salta	A					-25.9689	-64.6583	1
AR	4191	EL NARANJO (DPTO. ROSARIO DE LA FRONTERA)	Salta	A					-25.9689	-64.6583	1
AR	4191	VAQUERIA	Salta	A					-25.9689	-64.6583	1
AR	4193	SAN JUAN (SAN LORENZO - DPTO. ROSARIO DE LA FRONTERA)	Salta	A					-25.9121	-64.7939	3
AR	4193	SAN ROQUE	Salta	A					-25.9121	-64.7939	3
AR	4193	SURI MICUNA	Salta	A					-25.9121	-64.7939	3
AR	4193	TALA YACO	Salta	A					-25.9121	-64.7939	3
AR	4193	SAN PEDRO (PUENTES DE PLATA, DPTO. ROSARIO DE LA FRONTERA)	Salta	A					-25.9121	-64.7939	3
AR	4193	VIZCACHERAL	Salta	A					-25.9121	-64.7939	3
AR	4193	SANTA CATALINA	Salta	A					-25.9121	-64.7939	3
AR	4193	BAJADA BLANCA	Salta	A					-25.9121	-64.7939	3
AR	4193	BELLA VISTA (LAS SALADAS - DPTO. ROSARIO DE LA FRONTERA)	Salta	A					-25.9121	-64.7939	3
AR	4193	BUENA VISTA (LAS SALADAS - DPTO. ROSARIO DE LA FRONTERA)	Salta	A					-25.9121	-64.7939	3
AR	4193	EL CONDOR	Salta	A					-25.9121	-64.7939	3
AR	4193	POZO BLANCO	Salta	A					-25.9121	-64.7939	3
AR	4193	EL POTRERO (COPO QUILE, DPTO. ROSARIO DE LA FRONTERA)	Salta	A					-25.9121	-64.7939	3
AR	4193	LA CRUZ	Salta	A					-25.9121	-64.7939	3
AR	4193	LAS MERCEDES (SAN LORENZO - DPTO. ROSARIO DE LA FRONTERA)	Salta	A					-25.9121	-64.7939	3
AR	4193	LAS CATITAS	Salta	A					-25.9121	-64.7939	3
AR	4193	LA PAJITA	Salta	A					-25.9121	-64.7939	3
AR	4193	LA FIRMEZA	Salta	A					-25.9121	-64.7939	3
AR	4193	CABEZA DE ANTA	Salta	A					-25.9121	-64.7939	3
AR	4193	CAÑADON DE LAS JUNTAS	Salta	A					-25.9121	-64.7939	3
AR	4193	CERRO COLORADO	Salta	A					-25.9121	-64.7939	3
AR	4193	CERRO NEGRO (SAN LORENZO, DPTO. ROSARIO DE LA FRONTERA)	Salta	A					-25.9121	-64.7939	3
AR	4193	CHAÑAR AGUADA	Salta	A					-25.9121	-64.7939	3
AR	4193	COLGADAS	Salta	A					-25.9121	-64.7939	3
AR	4193	CONDOR (LAS SALADAS, DPTO. ROSARIO DE LA FRONTERA)	Salta	A					-25.9121	-64.7939	3
AR	4193	EL BORDO (ROSARIO DE LA FRONTERA)	Salta	A					-25.9121	-64.7939	3
AR	4193	EL CEIBAL	Salta	A					-25.9121	-64.7939	3
AR	4193	RIO URUEÑA (APEADERO FCGB)	Salta	A					-25.9121	-64.7939	3
AR	4193	SAN LUIS (LAS SALADAS, DPTO. ROSARIO DE LA FRONTERA)	Salta	A					-25.9121	-64.7939	3
AR	4193	SAN LORENZO (DPTO. ROSARIO DE LA FRONTERA)	Salta	A					-25.9121	-64.7939	3
AR	4193	LAS TUNILLAS	Salta	A					-25.9121	-64.7939	3
AR	4193	LOS ROSALES	Salta	A					-25.9121	-64.7939	3
AR	4193	COPO QUILE	Salta	A					-26.0167	-64.6667	4
AR	4193	PUENTE DE PLATA	Salta	A					-25.95	-64.7167	4
AR	4193	APEADERO COCHABAMBA	Salta	A					-26.05	-64.6333	4
AR	4193	LA CIENAGA	Salta	A					-25.9121	-64.7939	3
AR	4193	ANTILLA	Salta	A					-26.1167	-64.6	4
AR	4193	LOS BAÑOS	Salta	A					-25.8333	-64.9	4
